name,n,mean,std,min,max,ci95_lo,ci95_hi
BC,1000,198.672,88.99186461676128,23.0,530.0,193.14963781654305,204.19436218345695
PPO,1000,413.789,172.01725615593168,84.0,2400.0,403.11452324430536,424.4634767556946
